region,province,city_municipality,barangay,reg_code,prv_code,mun_code,bgy_code,geocode
REGION IV-A (CALABARZON),BATANGAS,BAUAN,MANGHINAO PROPER,04,010,06,022,0401006022
REGION IV-A (CALABARZON),BATANGAS,BAUAN,MANGHINAO UNO,04,010,06,023,0401006023
REGION IV-A (CALABARZON),BATANGAS,BAUAN,NEW DANGLAYAN,04,010,06,024,0401006024
REGION IV-A (CALABARZON),BATANGAS,BAUAN,ORENSE,04,010,06,025,0401006025
REGION IV-A (CALABARZON),BATANGAS,BAUAN,PITUGO,04,010,06,026,0401006026
REGION IV-A (CALABARZON),BATANGAS,BAUAN,RIZAL,04,010,06,028,0401006028
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAMPAGUITA,04,010,06,029,0401006029
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN AGUSTIN,04,010,06,030,0401006030
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN ANDRES PROPER,04,010,06,031,0401006031
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN ANDRES UNO,04,010,06,032,0401006032
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN DIEGO,04,010,06,033,0401006033
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN MIGUEL,04,010,06,034,0401006034
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN PABLO,04,010,06,035,0401006035
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN PEDRO,04,010,06,036,0401006036
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN ROQUE,04,010,06,037,0401006037
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN TEODORO,04,010,06,038,0401006038
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SAN VICENTE,04,010,06,039,0401006039
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SANTA MARIA,04,010,06,041,0401006041
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SANTO DOMINGO,04,010,06,042,0401006042
REGION IV-A (CALABARZON),BATANGAS,BAUAN,SINALA,04,010,06,044,0401006044
REGION IV-A (CALABARZON),BATANGAS,CITY OF CALACA,BAGONG TUBIG,04,010,07,001,0401007001
